date,open,high,low,close,volume
20190313,745.5,760.75,745.5,754,4056136
20190314,757,785,754,778,6217256
20190315,776,787.5,764.85,777.3,5240071
20190318,778.8,814.53,777,810.09,8131880
20190319,803,807.92,792.3,792.61,4063493
20190320,790,802.3,785,792.8,3111752
20190321,788,792.8,781.5,785.75,3257328
20190322,788.22,799.98,785,794,3051750
20190325,786,788,773.3,775.6,3727046
20190326,780,785.94,764.1,773,3759569
20190327,781,793.88,775,788.5,4280739
20190328,793.43,814.48,785.68,806.8,5756676
20190329,835,866.68,830.17,853.99,9093396
20190401,860,868.95,851,859,6093461
20190402,859.99,859.99,836.06,850,5322705
20190403,840.12,851.74,834.21,844.5,4305680
20190404,840,865.8,836.2,865,5577236
20190408,900,908,890.12,900.2,6625193
20190409,903,908.2,892.51,905,4798980
20190410,903,951.9,900,947.99,6781438
20190411,948,950,905.55,925.2,6110254
20190412,909,919.99,900.01,914,4861217
20190415,931,939,907,907,4552264
20190416,904.9,939.9,901.22,939.9,4642344
20190417,938,955.51,925,952,4076102
20190418,945.41,954.68,936.22,945.5,1959852
20190419,943.96,960.95,931.31,952.56,3237978
20190422,959.5,978.89,940.61,949.2,4062796
20190423,951,981.22,949.2,974.95,4885205
20190424,979.88,990,951.22,970,4522700
20190425,968.79,973.99,951.22,952.37,3980134
20190426,946.3,959.88,945,945,4327768
20190429,945,989,935,971.97,5257230
20190430,968,984.96,963.11,974,3594318
20190506,925.5,935,893,906,13509968
20190507,893.28,913.94,870.22,890,10083726
20190508,860,901.8,860,884.4,8188298
20190509,875,879.87,842.5,858.81,9154515
20190510,875.66,910.78,868.19,907.12,7990738
20190513,898.86,910.98,884,892,4663718
20190514,885,906,873,886.57,5998312
20190515,890.24,933,890.24,927,6312425
20190516,919,932,905,929.91,4454012
20190517,927.02,932.3,900.1,906.79,4984161
20190520,900,900,871,884.96,4440799
20190521,885,910,872.02,895,4238565
20190522,894.98,904,880,888,3204158
20190523,881,883.98,856.22,861,5805863
20190524,865,885,864.44,878.5,4403409
20190527,879.1,882.99,860.05,879,3916191
20190528,877.99,907.49,875.02,888,7477277
20190529,888.01,924.95,888.01,911.91,6564696
20190530,910,919.99,891.22,905.3,4024720
20190531,900.53,906.99,890,890,3579380
20190603,892,901.35,886.28,892,3447924
20190604,895,895.43,871,875.3,3968948
20190605,884,886.26,870,871.6,3406736
20190606,875.62,875.77,858,862.13,3478685
20190610,857.98,878.95,840,871.08,5550246
20190611,876,915.61,875,910.89,8010644
20190612,906.22,910.99,894,906.7,3774740
20190613,910,912.3,897,910,3291742
20190614,911,932.3,910.02,913,4245504
20190617,907,926.94,906.02,911.6,3276903
20190618,917,920,902.6,917,2944138
20190619,940,946.7,932.01,932.01,5372640
20190620,932.5,975.5,932.2,975,6727197
20190621,969.97,984.49,964.5,976.3,4592675
20190624,978.3,999.69,975,987.1,4577920
20190625,992,999,967,982.98,5129595
20190626,985,985,971.22,979.86,2958818
20190627,985,1001,981.12,996.35,4797845
20190628,985.99,988.88,971.33,984,3108840
20190701,1004.52,1035.6,1000.22,1031.86,5233723
20190702,1025,1029.5,1016,1025,3906109
20190703,1020,1023,981.5,987.9,6713932
20190704,985.8,990.8,971.22,981.2,4621668
20190705,986,1006,976.3,999.82,5003271
20190708,995.05,997.9,975,984.86,3361352
20190709,979.3,989,968.35,976.06,3172332
20190710,980.93,990.58,977,982.52,2816670
20190711,989.96,998.38,976,981.5,3051419
20190712,981.3,991.5,980.01,986.09,2817385
20190715,967.8,980.1,951.13,975.93,5987040
20190716,975.45,982.3,965,968,3324524
20190717,968,972.99,962.13,963.5,2546887
20190718,961.5,963,947.18,947.5,3925295
20190719,955,960.8,948,955.87,2801481
20190722,960,964,950.25,957.02,2812549
20190723,962.3,962.59,943.86,953.98,3248395
20190724,958.31,959.9,944.69,946.36,4677120
20190725,945.97,963.36,938.15,963,3825570
20190726,961.97,971,958.55,965.03,2646759
20190729,962.03,979.5,960.01,976.41,2698133
20190730,976.5,983,971,978.93,1953797
20190731,975,981.77,966.59,972.6,2252620
20190801,976.51,977,953.02,959.3,3508952
